_inputshopbuymultiple;VÁSÁRLÁS
achievement_10678_desc;Aktiváld a Adrenalin kulcsszót 10 alkalommal!
achievement_10678_title;Adrenalin roham
achievement_10679_desc;Aktiváld az Adrenalin kulcsszót 100 alkalommal!
achievement_10679_title;Adrenalin függő
achievement_10680_desc;Aktiváld az Adrenalin kulcsszót 500 alkalommal!
achievement_10680_title;Adrenalin löket
achievement_10681_desc;Aktiváld az Adrenalin kulcsszót 1000 alkalommal!
achievement_10681_title;Le kell nyugodnom!
achievement_10682_desc;Aktiváld a Boszorkányszombat kulcsszót 10 alkalommal!
achievement_10682_title;Paranoia
achievement_10683_desc;Aktiváld a Boszorkányszombat kulcsszót 100 alkalommal!
achievement_10683_title;Vasszűz
achievement_10684_desc;Aktiváld a Boszorkányszombat kulcsszót 500 alkalommal!
achievement_10684_title;Harci vadkan
achievement_10685_desc;Aktiváld a Boszorkányszombat kulcsszót 1000 alkalommal!
achievement_10685_title;"És megöltük"
achievement_10686_desc;Aktiváld a Türelem kulcsszót 10 alkalommal!
achievement_10686_title;A ... erény
achievement_10687_desc;Aktiváld a Türelem kulcsszót 100 alkalommal!
achievement_10687_title;Önkontroll
achievement_10688_desc;Aktiváld a Türelem kulcsszót 500 alkalommal!
achievement_10688_title;A türelem elvesztése a csata elvesztése
achievement_10689_desc;Aktiváld a Türelem kulcsszót 1000 alkalommal!
achievement_10689_title;A kétségbeesés enyhe formája
achievement_10690_desc;Játssz 5 mérkőzést, amely alatt kijátszol legalább egy kártyát az Uroborosz szettből!
achievement_10690_title;Karom és tőr
achievement_10691_desc;Játssz 10 mérkőzést, amely alatt kijátszol legalább egy kártyát az Uroborosz szettből!
achievement_10691_title;Tervrajz elkészítése
achievement_10692_desc;Játssz 20 mérkőzést, amely alatt kijátszol legalább egy kártyát az Uroborosz szettből!
achievement_10692_title;Tartalék terv
achievement_10693_desc;Játssz 30 mérkőzést, amely alatt kijátszol legalább egy kártyát az Uroborosz szettből!
achievement_10693_title;Harckész
achievement_11000_desc;Nyerj {0} mérkőzést Szörnyek paklival az aktív kihívás alatt!
achievement_11000_new_desc;Nyerj {0} mérkőzést Szörnyek paklival az aktív kihívás alatt!
achievement_11001_desc;Teljesíts 3 küldetés, miközben a Szörnyeket támogatod a kihívás esemény alatt!
achievement_11001_title;Minion
achievement_11002_desc;Teljesíts 5 küldetés, miközben a Szörnyeket támogatod a kihívás esemény alatt!
achievement_11002_title;Tanonc
achievement_11003_desc;Teljesíts 10 küldetés, miközben a Szörnyeket támogatod a kihívás esemény alatt!
achievement_11003_title;Akolitus
achievement_11004_desc;Teljesíts 15 küldetés, miközben a Szörnyeket támogatod a kihívás esemény alatt!
achievement_11004_title;Besúgó
achievement_11005_desc;Teljesíts 25 küldetés, miközben a Szörnyeket támogatod a kihívás esemény alatt!
achievement_11005_title;Óriás
achievement_11010_desc;Nyerj {0} mérkőzést Skellige paklival az aktív kihívás alatt!
achievement_11010_new_desc;Nyerj {0} mérkőzést Skellige paklival az aktív kihívás alatt!
achievement_11011_desc;Teljesíts 3 küldetés, miközben Skelligét támogatod a kihívás esemény alatt!
achievement_11011_title;Rabló
achievement_11012_desc;Teljesíts 5 küldetés, miközben Skelligét támogatod a kihívás esemény alatt!
achievement_11012_title;Számkivetett
achievement_11013_desc;Teljesíts 10 küldetés, miközben Skelligét támogatod a kihívás esemény alatt!
achievement_11013_title;Fosztogató
achievement_11014_desc;Teljesíts 15 küldetés, miközben Skelligét támogatod a kihívás esemény alatt!
achievement_11014_title;Elsőtiszt
achievement_11015_desc;Teljesíts 25 küldetés, miközben Skelligét támogatod a kihívás esemény alatt!
achievement_11015_title;Kalóz kapitány
achievement_11020_desc;Nyerj {0} mérkőzést Északi Királyságok paklival az aktív kihívás alatt!
achievement_11020_new_desc;Nyerj {0} mérkőzést Északi Királyságok paklival az aktív kihívás alatt!
achievement_11021_desc;Teljesíts 3 küldetés, miközben az Északi Királyságokat támogatod a kihívás esemény alatt!
achievement_11021_title;Regruta
achievement_11022_desc;Teljesíts 5 küldetés, miközben az Északi Királyságokat támogatod a kihívás esemény alatt!
achievement_11022_title;Hadnagy
achievement_11023_desc;Teljesíts 10 küldetés, miközben az Északi Királyságokat támogatod a kihívás esemény alatt!
achievement_11023_title;Lojalista
achievement_11024_desc;Teljesíts 15 küldetés, miközben az Északi Királyságokat támogatod a kihívás esemény alatt!
achievement_11024_title;Patrióta
achievement_11025_desc;Teljesíts 25 küldetés, miközben az Északi Királyságokat támogatod a kihívás esemény alatt!
achievement_11025_title;A királyért és a hazáért!
achievement_11030_desc;Nyerj {0} mérkőzést Nilfgaard paklival az aktív kihívás alatt!
achievement_11030_new_desc;Nyerj {0} mérkőzést Nilfgaard paklival az aktív kihívás alatt!
achievement_11031_desc;Teljesíts 3 küldetés, miközben Nilfgaardot támogatod a kihívás esemény alatt!
achievement_11031_title;Kép
achievement_11032_desc;Teljesíts 5 küldetés, miközben Nilfgaardot támogatod a kihívás esemény alatt!
achievement_11032_title;Orgyilkos
achievement_11033_desc;Teljesíts 10 küldetés, miközben Nilfgaardot támogatod a kihívás esemény alatt!
achievement_11033_title;Áruló
achievement_11034_desc;Teljesíts 15 küldetés, miközben Nilfgaardot támogatod a kihívás esemény alatt!
achievement_11034_title;Kémmester
achievement_11035_desc;Teljesíts 25 küldetés, miközben Nilfgaardot támogatod a kihívás esemény alatt!
achievement_11035_title;Császár akarata
achievement_11040_desc;Nyerj {0} mérkőzést Mókusok paklival az aktív kihívás alatt!
achievement_11040_new_desc;Nyerj {0} mérkőzést Mókusok paklival az aktív kihívás alatt!
achievement_11041_desc;Teljesíts 3 küldetés, miközben a Mókusokat támogatod a kihívás esemény alatt!
achievement_11041_title;Felkelő
achievement_11042_desc;Teljesíts 5 küldetés, miközben a Mókusokat támogatod a kihívás esemény alatt!
achievement_11042_title;Öldöklő
achievement_11043_desc;Teljesíts 10 küldetés, miközben a Mókusokat támogatod a kihívás esemény alatt!
achievement_11043_title;Forradalmár
achievement_11044_desc;Teljesíts 15 küldetés, miközben a Mókusokat támogatod a kihívás esemény alatt!
achievement_11044_title;Fanatikus
achievement_11045_desc;Teljesíts 25 küldetés, miközben a Mókusokat támogatod a kihívás esemény alatt!
achievement_11045_title;Különítmény vezetője
achievement_11050_desc;Nyerj {0} mérkőzést Szindikátus paklival az aktív kihívás alatt!
achievement_11050_new_desc;Nyerj {0} mérkőzést Szindikátus paklival az aktív kihívás alatt!
achievement_11051_title;Küldönc
achievement_11052_title;Kisstílű bűnöző
achievement_11053_title;Hadnagy
achievement_11054_title;Bizalmi ember
achievement_11055_title;Legbefolyásosabb 
achievement_11060_desc;Teljesíts {0} kihívás küldetést!
achievement_11060_new_desc;Teljesíts {0} kihívás küldetést!
achievement_11061_title;Toborzó!
achievement_11062_title;Közvetítő
achievement_11063_title;Szabadúszó
achievement_11064_title;Zsoldos
achievement_11065_title;Szerencsevadász
achievement_11066_desc;Erősíts Shanit 20 pontra!
achievement_11066_title;Radovidtól szeretettel
achievement_12001_desc;Nyerj 1 mérkőzést a Híd a Jarugán táblán!
achievement_12001_title;Harc a hídért a Jarugán
achievement_12002_desc;Nyerj 15 mérkőzést a Híd a Jarugán táblán!
achievement_12002_title;Lyriáért!
achievement_12003_desc;Nyerj 50 mérkőzést a Híd a Jarugán táblán!
achievement_12003_title;Ostrom mester
achievement_12005_desc;Teljesíts 1 napi küldetést Ciri és Yennefer szülinapi bulija alatt!
achievement_12005_title;Kezdődjön a buli!
achievement_12006_desc;Teljesíts 2 napi küldetést Ciri és Yennefer szülinapi bulija alatt!
achievement_12006_title;Kívánj valamit!
achievement_12007_desc;Teljesíts 3 napi küldetést Ciri és Yennefer szülinapi bulija alatt!
achievement_12007_title;Boldog születésnapot!
achievement_12009_title;Jussát várja a vaják
achievement_12009_title_alt;Vaják jele
achievement_12009_title_alt_2;Jussát várja a farkas
achievement_12010_title;Jussát várja a hercegnő
achievement_12010_title_alt;Hercegnő jele
achievement_12011_title;Jussát várja a varázsló
achievement_12011_title_alt;Varázslónő jele
achievement_12013_title;Csak egy zsoldos
achievement_12014_title;Nem csak egy zsoldos
achievement_12015_title;Nem egy akármilyen zsoldos
achievement_12017_title;Csak játssz tovább!
achievement_12024_title;A nagy kártyakeverő
achievement_12028_title;A legnagyobb kártyakeverő
achievement_12030_desc;Nyiss ki egy hordót!
achievement_12030_title;Aranyos hordó
achievement_12035_title;Küldj "Jó meccs" jelölést a tiszteleted kifejezésére!
achievement_12040_desc;Nyerj 1 mérkőzést Gascon kinézetének használatával!
achievement_12040_title;A Brossardokért!
achievement_12041_desc;Nyerj 15 mérkőzést Gascon kinézetének használatával!
achievement_12041_title;Spalla bitangjaiért!
achievement_12042_desc;Nyerj 50 mérkőzést Gascon kinézetének használatával!
achievement_12042_title;A Kutyák Hercegéért!
achievement_12044_title;Nagy, csúnya vörös sapka
achievement_12045_title;Cukorfiú
achievement_12047_desc;Nyerj 1 mérkőzést az évfordulós ünnepély alatt!
achievement_12047_title;Óh, nézd, süti!
achievement_12048_desc;Nyerj 3 mérkőzést az évfordulós ünnepély alatt!
achievement_12048_title;A győzelem édes íze
achievement_12049_desc;Nyerj 6 mérkőzést az évfordulós ünnepély alatt!
achievement_12049_title;Rendben, csak még egyet
achievement_12050_desc;Nyerj 15 mérkőzést az évfordulós ünnepély alatt!
achievement_12050_title;Befalom mindet!
achievement_12052_desc;Teljesíts 1 napi küldetést az évfordulós ünnepély alatt!
achievement_12052_title;Felkészülni!
achievement_12053_desc;Teljesíts 3 napi küldetést az évfordulós ünnepély alatt!
achievement_12053_title;Vigyázz!
achievement_12054_desc;Teljesíts 7 napi küldetést az évfordulós ünnepély alatt!
achievement_12054_title;Buli!
achievement_12056_desc;Játssz 1 mérkőzést a Szörnyek frakciójával az évfordulós ünnepély alatt!
achievement_12056_title;Szörnyű ünnepély
achievement_12057_desc;Játssz 3 mérkőzést a Szörnyek frakciójával az évfordulós ünnepély alatt!
achievement_12057_title;Vért, vagy bort?
achievement_12058_desc;Játssz 5 mérkőzést a Szörnyek frakciójával az évfordulós ünnepély alatt!
achievement_12058_title;Repül a bor, ha jól érzed magad
